ID,Anne,Date
1,1965,230.8
2,1966,155
3,1967,192
4,1968,264.2
5,1969,206.5
6,1970,187.3
7,1971,130.2
8,1972,270
9,1973,270
10,1974,200
11,1975,175.4
12,1976,183.8
13,1977,276.2
14,1978,NA
15,1979,NA
16,1980,NA
17,1981,NA
18,1982,NA
19,1983,NA
20,1984,NA
21,1985,NA
22,1986,NA
23,1987,NA
24,1988,NA
25,1989,NA
26,1990,NA
27,1991,NA
28,1992,NA
29,1993,NA
30,1994,NA
31,1995,NA
32,1996,NA
33,1997,NA
34,1998,172.2
35,1999,224
36,2000,198.9
37,2001,175.4
38,2002,160
39,2003,235.5
40,2004,166.1
41,2005,137
42,2006,153.7
43,2007,243.9
44,2008,236.6
45,2009,252.4
46,2010,141.6
47,2011,146.2
48,2012,240.8
49,2013,263.6
50,2014,208.2
51,2015,228.4
52,2016,155.2
53,2017,174.9
54,2018,270.8
55,2019,196.3
