ID,Anne,Date
1,1966,71
2,1967,35
3,1968,32.3
4,1969,73
5,1970,85.4
6,1971,50.2
7,1972,20.7
8,1973,30
9,1974,33.7
10,1975,30
11,1976,61
12,1977,35
13,1978,48.2
14,1979,46.2
15,1980,31
16,1981,42.4
17,2000,51.2
15,1980,38
16,1981,54.5
17,1982,56
18,1983,20
19,1984,32.4
20,1985,65.4
21,1986,60.7
22,1987,56.2
23,1988,78.4
24,1989,68
25,1990,53.3
26,1991,36.1
27,1992,36.5
28,1993,47.9
29,1994,51.7
30,1995,55
31,1996,65.8
32,103.3,103.3
33,1998,50.6
34,1999,57.2
35,2000,39
36,2001,64.3
37,2002,48.2
38,2003,78.1
39,2004,60.4
40,2005,41.4
